MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB5.1,123142,5/4/98,M ,DO,0.7,MG/L
CB5.1,123142,5/4/98,M ,DO,1.1,MG/L
CB5.1,123142,5/4/98,M ,DO,1.1,MG/L
CB5.1,123142,5/4/98,M ,DO,0.7,MG/L
CB5.1,123142,5/4/98,M ,DO,0.6,MG/L
CB5.1,123142,5/4/98,M ,DO,0.5,MG/L
CB5.1,123142,5/4/98,M ,DO,0.5,MG/L
CB5.1,123142,5/4/98,M ,DO,0.5,MG/L
CB5.1,123142,5/4/98,BP,DO,2.1,MG/L
CB5.1,123142,5/4/98,M ,DO,7.8,MG/L
CB5.1,123142,5/4/98,M ,DO,2.1,MG/L
CB5.1,123142,5/4/98,M ,DO,1.9,MG/L
CB5.1,123142,5/4/98,M ,DO,1.8,MG/L
CB5.1,123142,5/4/98,M ,DO,1.4,MG/L
CB5.1,123142,5/4/98,M ,DO,0.8,MG/L
CB5.1,123142,5/4/98,AP,DO,10.3,MG/L
CB5.1,123142,5/4/98,M ,DO,10.2,MG/L
CB5.1,123142,5/4/98,M ,DO,10.0,MG/L
CB5.1,123142,5/4/98,M ,DO,11.0,MG/L
CB5.1,123142,5/4/98,M ,DO,10.8,MG/L
CB5.1,123142,5/4/98,M ,DO,10.2,MG/L
CB5.1,123142,5/4/98,M ,DO,10.2,MG/L
CB5.1,123142,5/4/98,S ,DO,11.0,MG/L
CB5.1,123142,5/4/98,M ,DO,11.0,MG/L
CB5.1,123142,5/4/98,M ,DO,11.0,MG/L
CB5.1,122983,4/21/98,B ,DO,2.0,MG/L
CB5.1,122983,4/21/98,M ,DO,2.0,MG/L
CB5.1,122983,4/21/98,M ,DO,2.0,MG/L
CB5.1,122983,4/21/98,BP,DO,2.3,MG/L
CB5.1,122983,4/21/98,M ,DO,2.3,MG/L
CB5.1,122983,4/21/98,M ,DO,2.3,MG/L
CB5.1,122983,4/21/98,M ,DO,2.3,MG/L
CB5.1,122983,4/21/98,M ,DO,2.2,MG/L
CB5.1,122983,4/21/98,M ,DO,2.1,MG/L
CB5.1,122983,4/21/98,M ,DO,2.1,MG/L
CB5.1,122983,4/21/98,AP,DO,9.4,MG/L
CB5.1,122983,4/21/98,M ,DO,9.2,MG/L
CB5.1,122983,4/21/98,M ,DO,7.7,MG/L
CB5.1,122983,4/21/98,S ,DO,9.9,MG/L
CB5.1,122983,4/21/98,M ,DO,9.6,MG/L
CB5.1,122983,4/21/98,M ,DO,9.6,MG/L
CB5.1,122983,4/21/98,M ,DO,5.9,MG/L
CB5.1,122983,4/21/98,M ,DO,5.1,MG/L
CB5.1,122983,4/21/98,M ,DO,4.1,MG/L
CB5.1,122983,4/21/98,M ,DO,3.6,MG/L
CB5.1,122983,4/21/98,M ,DO,3.1,MG/L
CB5.1,122983,4/21/98,M ,DO,3.1,MG/L
CB5.1,122983,4/21/98,M ,DO,2.7,MG/L
CB5.1,122983,4/21/98,M ,DO,2.3,MG/L
CB5.1,122841,4/6/98,B ,DO,5.7,MG/L
CB5.1,122841,4/6/98,M ,DO,5.7,MG/L
CB5.1,122841,4/6/98,M ,DO,5.7,MG/L
CB5.1,122841,4/6/98,M ,DO,5.9,MG/L
CB5.1,122841,4/6/98,M ,DO,5.8,MG/L
CB5.1,122841,4/6/98,M ,DO,5.8,MG/L
CB5.1,122841,4/6/98,M ,DO,5.7,MG/L
CB5.1,122841,4/6/98,BP,DO,6.3,MG/L
CB5.1,122841,4/6/98,M ,DO,6.5,MG/L
CB5.1,122841,4/6/98,M ,DO,6.4,MG/L
CB5.1,122841,4/6/98,M ,DO,8.7,MG/L
CB5.1,122841,4/6/98,M ,DO,8.3,MG/L
CB5.1,122841,4/6/98,M ,DO,7.6,MG/L
CB5.1,122841,4/6/98,M ,DO,6.8,MG/L
CB5.1,122841,4/6/98,AP,DO,9.4,MG/L
CB5.1,122841,4/6/98,M ,DO,9.6,MG/L
CB5.1,122841,4/6/98,M ,DO,9.1,MG/L
CB5.1,122841,4/6/98,M ,DO,10.1,MG/L
CB5.1,122841,4/6/98,M ,DO,9.9,MG/L
CB5.1,122841,4/6/98,M ,DO,9.8,MG/L
CB5.1,122841,4/6/98,M ,DO,9.6,MG/L
CB5.1,122841,4/6/98,S ,DO,10.2,MG/L
CB5.1,122733,3/23/98,M ,DO,9.6,MG/L
CB5.1,122841,4/6/98,M ,DO,10.2,MG/L
CB5.1,122733,3/23/98,B ,DO,9.6,MG/L
CB5.1,122733,3/23/98,M ,DO,9.7,MG/L
