MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB3.2,74052,6/29/11,S ,SALINITY,3.41,PPT
CB3.2,74052,6/29/11,M ,SALINITY,6.37,PPT
CB3.2,74052,6/29/11,M ,SALINITY,6.0,PPT
CB3.2,74052,6/29/11,M ,SALINITY,4.24,PPT
CB3.2,74052,6/29/11,M ,SALINITY,3.47,PPT
CB3.2,74052,6/29/11,M ,SALINITY,3.41,PPT
CB3.2,69354,6/8/11,M ,SALINITY,7.12,PPT
CB3.2,74052,6/29/11,AP,SALINITY,3.89,PPT
CB3.2,74052,6/29/11,M ,SALINITY,10.24,PPT
CB3.2,74052,6/29/11,M ,SALINITY,8.12,PPT
CB3.2,74052,6/29/11,BP,SALINITY,11.67,PPT
CB3.2,74052,6/29/11,M ,SALINITY,12.4,PPT
CB3.2,74052,6/29/11,M ,SALINITY,12.2,PPT
CB3.2,74052,6/29/11,B ,SALINITY,12.93,PPT
CB3.2,74293,7/13/11,M ,SALINITY,6.68,PPT
CB3.2,74293,7/13/11,M ,SALINITY,6.62,PPT
CB3.2,74293,7/13/11,M ,SALINITY,6.43,PPT
CB3.2,74293,7/13/11,M ,SALINITY,5.45,PPT
CB3.2,74293,7/13/11,S ,SALINITY,5.09,PPT
CB3.2,74293,7/13/11,AP,SALINITY,5.15,PPT
CB3.2,74293,7/13/11,M ,SALINITY,7.12,PPT
CB3.2,74293,7/13/11,M ,SALINITY,6.93,PPT
CB3.2,74293,7/13/11,M ,SALINITY,6.74,PPT
CB3.2,74293,7/13/11,M ,SALINITY,6.74,PPT
CB3.2,74293,7/13/11,B ,SALINITY,8.19,PPT
CB3.2,74293,7/13/11,BP,SALINITY,8.19,PPT
CB3.2,74507,7/26/11,M ,SALINITY,10.95,PPT
CB3.2,74507,7/26/11,M ,SALINITY,10.04,PPT
CB3.2,74507,7/26/11,M ,SALINITY,8.12,PPT
CB3.2,74507,7/26/11,M ,SALINITY,7.24,PPT
CB3.2,74507,7/26/11,M ,SALINITY,6.56,PPT
CB3.2,74507,7/26/11,M ,SALINITY,6.37,PPT
CB3.2,74507,7/26/11,M ,SALINITY,6.37,PPT
CB3.2,74293,7/13/11,M ,SALINITY,7.49,PPT
CB3.2,74507,7/26/11,M ,SALINITY,6.37,PPT
CB3.2,74507,7/26/11,M ,SALINITY,6.37,PPT
CB3.2,74507,7/26/11,M ,SALINITY,12.66,PPT
CB3.2,74507,7/26/11,M ,SALINITY,11.74,PPT
CB3.2,74702,8/10/11,M ,SALINITY,7.3,PPT
CB3.2,74702,8/10/11,M ,SALINITY,7.3,PPT
CB3.2,74702,8/10/11,S ,SALINITY,7.3,PPT
CB3.2,74702,8/10/11,M ,SALINITY,9.08,PPT
CB3.2,74702,8/10/11,M ,SALINITY,7.37,PPT
CB3.2,74702,8/10/11,AP,SALINITY,7.3,PPT
CB3.2,74702,8/10/11,M ,SALINITY,10.3,PPT
CB3.2,74702,8/10/11,M ,SALINITY,9.98,PPT
CB3.2,74702,8/10/11,BP,SALINITY,9.46,PPT
CB3.2,74702,8/10/11,M ,SALINITY,10.63,PPT
CB3.2,74702,8/10/11,M ,SALINITY,10.43,PPT
CB3.2,74702,8/10/11,B ,SALINITY,10.69,PPT
CB3.2,74922,8/29/11,M ,SALINITY,8.19,PPT
CB3.2,74922,8/29/11,M ,SALINITY,8.0,PPT
CB3.2,74922,8/29/11,S ,SALINITY,7.74,PPT
CB3.2,74922,8/29/11,AP,SALINITY,8.31,PPT
CB3.2,74922,8/29/11,BP,SALINITY,8.69,PPT
CB3.2,74922,8/29/11,M ,SALINITY,8.69,PPT
CB3.2,74922,8/29/11,M ,SALINITY,8.38,PPT
CB3.2,74922,8/29/11,B ,SALINITY,8.69,PPT
CB3.2,75337,9/21/11,M ,SALINITY,2.6,PPT
CB3.2,75337,9/21/11,M ,SALINITY,2.54,PPT
CB3.2,75337,9/21/11,S ,SALINITY,2.48,PPT
CB3.2,75337,9/21/11,M ,SALINITY,5.76,PPT
CB3.2,75337,9/21/11,M ,SALINITY,3.77,PPT
CB3.2,75337,9/21/11,AP,SALINITY,2.83,PPT
CB3.2,75337,9/21/11,M ,SALINITY,7.93,PPT
CB3.2,75337,9/21/11,M ,SALINITY,6.87,PPT
CB3.2,75337,9/21/11,BP,SALINITY,6.06,PPT
CB3.2,75337,9/21/11,M ,SALINITY,9.46,PPT
CB3.2,75337,9/21/11,M ,SALINITY,8.44,PPT
CB3.2,75337,9/21/11,B ,SALINITY,9.72,PPT
CB3.2,71982,1/16/03,M ,SALINITY,4.72,PPT
CB3.2,71982,1/16/03,M ,SALINITY,3.53,PPT
CB3.2,71982,1/16/03,S ,SALINITY,3.47,PPT
CB3.2,71982,1/16/03,M ,SALINITY,14.46,PPT
CB3.2,71982,1/16/03,M ,SALINITY,5.63,PPT
CB3.2,71982,1/16/03,AP,SALINITY,5.02,PPT
CB3.2,71982,1/16/03,M ,SALINITY,16.29,PPT
CB3.2,71982,1/16/03,M ,SALINITY,16.22,PPT
CB3.2,71982,1/16/03,BP,SALINITY,15.61,PPT
CB3.2,71982,1/16/03,B ,SALINITY,17.04,PPT
CB3.2,72201,2/14/03,S ,SALINITY,8.25,PPT
CB3.2,72201,2/14/03,M ,SALINITY,8.82,PPT
CB3.2,72201,2/14/03,M ,SALINITY,8.38,PPT
CB3.2,72201,2/14/03,M ,SALINITY,8.25,PPT
CB3.2,71982,1/16/03,M ,SALINITY,16.56,PPT
CB3.2,72201,2/14/03,M ,SALINITY,10.24,PPT
CB3.2,72201,2/14/03,M ,SALINITY,9.91,PPT
CB3.2,72201,2/14/03,AP,SALINITY,10.63,PPT
CB3.2,72201,2/14/03,M ,SALINITY,15.07,PPT
CB3.2,72201,2/14/03,M ,SALINITY,12.2,PPT
CB3.2,72201,2/14/03,BP,SALINITY,18.41,PPT
CB3.2,72201,2/14/03,M ,SALINITY,17.52,PPT
CB3.2,72410,3/12/03,AP,SALINITY,4.24,PPT
CB3.2,72410,3/12/03,M ,SALINITY,10.76,PPT
CB3.2,72410,3/12/03,M ,SALINITY,9.4,PPT
CB3.2,72410,3/12/03,M ,SALINITY,7.93,PPT
CB3.2,72410,3/12/03,M ,SALINITY,7.74,PPT
CB3.2,72410,3/12/03,M ,SALINITY,4.24,PPT
